Message size,#sockets,#threads,Total latency,Total throughput,Total packet rate
1 Bytes,1,1,0.0269965 milliseconds,310.776 Kbps,310776 packets/second
2 Bytes,1,1,0.052809 milliseconds,624.922 Kbps,312461 packets/second
4 Bytes,1,1,0.0787525 milliseconds,1.24165 Mbps,310412 packets/second
8 Bytes,1,1,0.108224 milliseconds,2.50465 Mbps,313082 packets/second
16 Bytes,1,1,0.133667 milliseconds,4.95783 Mbps,309864 packets/second
32 Bytes,1,1,0.161414 milliseconds,9.73894 Mbps,304342 packets/second
64 Bytes,1,1,0.18827 milliseconds,18.5209 Mbps,289389 packets/second
128 Bytes,1,1,0.220867 milliseconds,33.3082 Mbps,260220 packets/second
256 Bytes,1,1,0.254039 milliseconds,59.3068 Mbps,231667 packets/second
512 Bytes,1,1,0.294837 milliseconds,99.9224 Mbps,195161 packets/second
1 KB,1,1,0.347993 milliseconds,159.226 Mbps,155494 packets/second
2 KB,1,1,0.350116 milliseconds,1.85343 Gbps,904995 packets/second
4 KB,1,1,0.353971 milliseconds,2.10527 Gbps,513982 packets/second
8 KB,1,1,0.61197 milliseconds,2.33525 Gbps,285065 packets/second
16 KB,1,1,0.616858 milliseconds,2.03665 Gbps,124308 packets/second
32 KB,1,1,0.961844 milliseconds,1.96431 Gbps,59945.9 packets/second
64 KB,1,1,1.15157 milliseconds,1.91805 Gbps,29267.2 packets/second
128 KB,1,1,1.65297 milliseconds,1.8961 Gbps,14466.1 packets/second
256 KB,1,1,2.82023 milliseconds,1.88766 Gbps,7200.84 packets/second
512 KB,1,1,5.01058 milliseconds,1.88776 Gbps,3600.62 packets/second
1 MB,1,1,9.43389 milliseconds,1.88507 Gbps,1797.74 packets/second
1 Bytes,2,1,4.7437 milliseconds,593.905 Kbps,593905 packets/second
2 Bytes,2,1,2.39612 milliseconds,657.982 Kbps,328991 packets/second
4 Bytes,2,1,1.22133 milliseconds,1.30652 Mbps,326630 packets/second
8 Bytes,2,1,0.63518 milliseconds,2.62184 Mbps,327730 packets/second
16 Bytes,2,1,0.341877 milliseconds,5.23115 Mbps,326947 packets/second
32 Bytes,2,1,0.197268 milliseconds,10.4838 Mbps,327619 packets/second
64 Bytes,2,1,0.121757 milliseconds,20.9663 Mbps,327599 packets/second
128 Bytes,2,1,0.0820111 milliseconds,61.5946 Mbps,481207 packets/second
256 Bytes,2,1,0.0642366 milliseconds,101.229 Mbps,395425 packets/second
512 Bytes,2,1,0.0543185 milliseconds,168.664 Mbps,329422 packets/second
1 KB,2,1,0.073065 milliseconds,238.782 Mbps,233185 packets/second
2 KB,2,1,0.0411225 milliseconds,1.95932 Gbps,956698 packets/second
4 KB,2,1,0.0235425 milliseconds,2.29182 Gbps,559527 packets/second
8 KB,2,1,0.0150923 milliseconds,2.02727 Gbps,247469 packets/second
16 KB,2,1,0.0125936 milliseconds,1.9844 Gbps,121118 packets/second
32 KB,2,1,0.0163453 milliseconds,1.92283 Gbps,58680.1 packets/second
64 KB,2,1,0.251531 milliseconds,1.90075 Gbps,29003.1 packets/second
128 KB,2,1,0.958798 milliseconds,1.89004 Gbps,14419.9 packets/second
256 KB,2,1,1.53651 milliseconds,1.88825 Gbps,7203.11 packets/second
512 KB,2,1,2.9423 milliseconds,1.88563 Gbps,3596.56 packets/second
1 MB,2,1,5.47218 milliseconds,1.89192 Gbps,1804.27 packets/second
1 Bytes,3,1,1.83331 milliseconds,857.811 Kbps,857811 packets/second
2 Bytes,3,1,0.620268 milliseconds,1.70303 Mbps,851515 packets/second
4 Bytes,3,1,0.215957 milliseconds,3.28587 Mbps,821468 packets/second
8 Bytes,3,1,0.0888402 milliseconds,6.85889 Mbps,857361 packets/second
16 Bytes,3,1,0.0391794 milliseconds,12.8569 Mbps,803559 packets/second
32 Bytes,3,1,0.024256 milliseconds,24.332 Mbps,760376 packets/second
64 Bytes,3,1,0.020142 milliseconds,45.1204 Mbps,705006 packets/second
128 Bytes,3,1,0.018751 milliseconds,81.5496 Mbps,637106 packets/second
256 Bytes,3,1,0.019088 milliseconds,153.078 Mbps,597960 packets/second
512 Bytes,3,1,0.0246532 milliseconds,242.569 Mbps,473768 packets/second
1 KB,3,1,0.0285872 milliseconds,390.149 Mbps,381005 packets/second
2 KB,3,1,0.0111012 milliseconds,2.49385 Gbps,1.2177e+06 packets/second
4 KB,3,1,0.12892 milliseconds,2.34375 Gbps,572205 packets/second
8 KB,3,1,0.121177 milliseconds,2.67057 Gbps,325998 packets/second
16 KB,3,1,0.0467846 milliseconds,2.1169 Gbps,129206 packets/second
32 KB,3,1,0.0269849 milliseconds,1.92267 Gbps,58675.1 packets/second
64 KB,3,1,0.126013 milliseconds,1.89811 Gbps,28962.9 packets/second
128 KB,3,1,0.278427 milliseconds,1.89129 Gbps,14429.4 packets/second
256 KB,3,1,1.81836 milliseconds,1.89216 Gbps,7218.01 packets/second
512 KB,3,1,2.39713 milliseconds,1.91144 Gbps,3645.77 packets/second
1 MB,3,1,5.19456 milliseconds,1.88442 Gbps,1797.12 packets/second
1 Bytes,4,1,1.30799 milliseconds,939.101 Kbps,939101 packets/second
2 Bytes,4,1,0.335237 milliseconds,1.95864 Mbps,979320 packets/second
4 Bytes,4,1,0.0924239 milliseconds,3.79902 Mbps,949754 packets/second
8 Bytes,4,1,0.0316117 milliseconds,7.93093 Mbps,991366 packets/second
16 Bytes,4,1,0.0164338 milliseconds,15.2243 Mbps,951522 packets/second
32 Bytes,4,1,0.0134207 milliseconds,30.7336 Mbps,960425 packets/second
64 Bytes,4,1,0.0113886 milliseconds,57.4873 Mbps,898239 packets/second
128 Bytes,4,1,0.0210864 milliseconds,90.0062 Mbps,703173 packets/second
256 Bytes,4,1,0.0137251 milliseconds,145.895 Mbps,569901 packets/second
512 Bytes,4,1,0.027389 milliseconds,217.425 Mbps,424658 packets/second
1 KB,4,1,0.02544 milliseconds,362.64 Mbps,354140 packets/second
2 KB,4,1,0.0255814 milliseconds,2.19581 Gbps,1.07217e+06 packets/second
4 KB,4,1,0.027433 milliseconds,2.31307 Gbps,564714 packets/second
8 KB,4,1,0.0118544 milliseconds,1.98381 Gbps,242165 packets/second
16 KB,4,1,0.0123425 milliseconds,1.91422 Gbps,116835 packets/second
32 KB,4,1,0.0179015 milliseconds,1.90351 Gbps,58090.6 packets/second
64 KB,4,1,0.207143 milliseconds,2.03625 Gbps,31070.7 packets/second
128 KB,4,1,0.620766 milliseconds,1.96317 Gbps,14977.8 packets/second
256 KB,4,1,2.23889 milliseconds,1.89883 Gbps,7243.45 packets/second
512 KB,4,1,2.59381 milliseconds,1.88669 Gbps,3598.58 packets/second
1 MB,4,1,4.82638 milliseconds,1.89305 Gbps,1805.35 packets/second
1 Bytes,5,1,0.0307503 milliseconds,816.007 Kbps,816007 packets/second
2 Bytes,5,1,0.0388092 milliseconds,1.61367 Mbps,806836 packets/second
4 Bytes,5,1,0.042416 milliseconds,3.2174 Mbps,804350 packets/second
8 Bytes,5,1,0.0414081 milliseconds,6.45101 Mbps,806376 packets/second
16 Bytes,5,1,0.0420754 milliseconds,12.8813 Mbps,805083 packets/second
32 Bytes,5,1,0.0392125 milliseconds,25.6884 Mbps,802761 packets/second
64 Bytes,5,1,0.0426879 milliseconds,50.4967 Mbps,789011 packets/second
128 Bytes,5,1,0.0430505 milliseconds,96.4166 Mbps,753255 packets/second
